prefix,prefix_bits,manufacturer,registry_type,is_ieee_reserved
000129,24,DFI Inc,MA-L,false
00012A,24,Telematica Sistems Inteligente,MA-L,false
00012B,24,"TELENET Co., Ltd",MA-L,false
00012C,24,"Aravox Technologies, Inc",MA-L,false
00012D,24,Komodo Technology,MA-L,false
00012E,24,PC Partner Ltd,MA-L,false
00012F,24,Twinhead International Corp,MA-L,false
000130,24,Extreme Networks Headquarters,MA-L,false
000131,24,"Bosch Security Systems, Inc",MA-L,false
000132,24,Dranetz - BMI,MA-L,false
000133,24,KYOWA Electronic Instruments C,MA-L,false
000134,24,Selectron Systems AG,MA-L,false
000135,24,KDC Corp,MA-L,false
000136,24,Cybertan Technology Inc,MA-L,false
000137,24,IT Farm Corporation,MA-L,false
000138,24,Xavi Technologies Corp,MA-L,false
000139,24,Point Multimedia Systems,MA-L,false
00013A,24,"SHELCAD COMMUNICATIONS, LTD.",MA-L,false
00013B,24,BNA SYSTEMS,MA-L,false
00013C,24,TIW SYSTEMS,MA-L,false
00013D,24,Riscstation Ltd,MA-L,false
00013E,24,Ascom Tateco AB,MA-L,false
00013F,24,"Neighbor World Co., Ltd",MA-L,false
000140,24,Sendtek Corporation,MA-L,false
000141,24,CABLE PRINT,MA-L,false
000142,24,"Cisco Systems, Inc",MA-L,false
000143,24,"Cisco Systems, Inc",MA-L,false
000144,24,Dell EMC,MA-L,false
000145,24,"WINSYSTEMS, INC.",MA-L,false
000146,24,"Tesco Controls, Inc",MA-L,false
000147,24,"Zhone Technologies, Inc",MA-L,false
000148,24,X-traweb Inc,MA-L,false
000149,24,TDT AG,MA-L,false
00014A,24,Sony Corporation,MA-L,false
00014B,24,"Ennovate Networks, Inc",MA-L,false
00014C,24,Berkeley Process Control,MA-L,false
00014D,24,"Shin Kin Enterprises Co., Ltd",MA-L,false
00014E,24,"WIN Enterprises, Inc",MA-L,false
00014F,24,Adtran Inc,MA-L,false
000150,24,"GILAT COMMUNICATIONS, LTD.",MA-L,false
000151,24,Ensemble Communications,MA-L,false
000152,24,CHROMATEK INC.,MA-L,false
000153,24,ARCHTEK TELECOM CORPORATION,MA-L,false
000154,24,G3M Corporation,MA-L,false
000155,24,"Promise Technology, Inc",MA-L,false
000156,24,"FIREWIREDIRECT.COM, INC.",MA-L,false
000157,24,"SYSWAVE CO., LTD",MA-L,false
000158,24,Electro Industries/gauge Tech,MA-L,false
000159,24,S1 Corporation,MA-L,false
00015A,24,Digital Video Broadcasting,MA-L,false
00015B,24,ITALTEL S.p.a/rf-up-i,MA-L,false
00015C,24,CADANT INC.,MA-L,false
00015D,24,Oracle Corporation,MA-L,false
00015E,24,"BEST TECHNOLOGY CO., LTD.",MA-L,false
00015F,24,DIGITAL DESIGN Gmbh,MA-L,false
000160,24,"ELMEX Co., LTD.",MA-L,false
000161,24,Meta Machine Technology,MA-L,false
000162,24,"Cygnet Technologies, Inc",MA-L,false
000163,24,"Cisco Systems, Inc",MA-L,false
000164,24,"Cisco Systems, Inc",MA-L,false
000165,24,Airswitch Corporation,MA-L,false
000166,24,TC GROUP A/S,MA-L,false
000167,24,HIOKI E.E. CORPORATION,MA-L,false
000168,24,VITANA CORPORATION,MA-L,false
000169,24,Celestix Networks Pte Ltd,MA-L,false
00016A,24,ALITEC,MA-L,false
00016B,24,"Lightchip, Inc",MA-L,false
00016C,24,FOXCONN,MA-L,false
00016D,24,Carriercomm Inc,MA-L,false
00016E,24,Conklin Corporation,MA-L,false
00016F,24,Inkel Corp,MA-L,false
000170,24,ESE Embedded System Engineer'g,MA-L,false
000171,24,Allied Data Technologies,MA-L,false
000172,24,"Technoland Co., LTD.",MA-L,false
000173,24,AMCC,MA-L,false
000174,24,Cyberoptics Corporation,MA-L,false
000175,24,Radiant Communications Corp,MA-L,false
000176,24,Orient Silver Enterprises,MA-L,false
000177,24,EDSL,MA-L,false
000178,24,"MARGI Systems, Inc",MA-L,false
000179,24,"WIRELESS TECHNOLOGY, INC.",MA-L,false
